ID,area,scenario,steps,expected result,actual result,status,severity,reproducibility,evidence path,notes
EX-039,Run inspection,Per-item provenance and safe error,Open Run details after failure.,"Items show source identity, version, counts and actionable safe error.","TXT/PDF names, hashes, processing versions and statuses shown; TXT had explicit encryption error.",PASS,None,1/1,docs/qa/extract-e2e-2026-09-26/screenshots/run-items-failed.png,Status accuracy defect separately EX-040.
EX-040,Run inspection,Terminal run leaves item processing,Wait after failed run; compare UI item with run and Knowledge Base state.,Every item reaches terminal state when parent run is failed.,Required-item failure ended with the failed item failed and the other item cancelled; no item remained processing and the previous ready index remained available.,PASS,Medium,1/1 after fix,docs/qa/extract-followup-2026-09-26/screenshots/ex-040-terminal-items.png,Root cause: parent failure path did not terminalize sibling processing items. Worker now closes unfinished items before marking the run failed.
EX-041,Content inspection,Mislabels failed v2 item as legacy,Click Inspect content for failed processing v2 item.,Unavailable content reason reflects failed v2 run.,Browser content inspector for a failed schema-v2 item said processing failed and no canonical content is available.,PASS,Low,1/1 after fix,docs/qa/extract-followup-2026-09-26/screenshots/ex-041-failed-content-reason.png,Root cause: hardcoded legacy-only unavailable copy. Inspector now uses failed processing status and clears stale load errors after recovery.
EX-042,Cancellation,Queued-run API cancellation and UI state,"POST a v1 run, immediately POST cancel, then open v1 in browser.",Cancelled run and items shown; no index published.,API returned 202 then 200 cancelled; UI showed all six nodes and both items Cancelled.,PASS,None,1/1,docs/qa/extract-e2e-2026-09-26/screenshots/cancelled-run.png,Cancellation action was API-driven; browser reflected final state.
EX-043,Cancellation,Browser Cancel control,"Click Run ingestion, then try browser Cancel run.",Browser control cancels in-flight job.,"Browser Run ingestion followed by Cancel run returned 202 then 200; run and all stages/items persisted as cancelled, with no new index.",PASS,None,1/1 after retry,docs/qa/extract-followup-2026-09-26/screenshots/ex-043-browser-cancelled.png,Original attempt lacked a cancellable window. Browser control was retested on isolated QA run 78f353dc-62c0-406a-8974-90187fe4d044.
EX-044,Retry,New run after failed run,Click Run ingestion again on saved v1.,New attempt accepted with new run ID.,New run queued and failed on same encryption prerequisite.,PASS,None,1/1,,Retry submission verified; successful retry blocked by environment.
EX-045,Publication,No partial index after failure/cancel,Open Knowledge Base Collections after failed/cancelled runs.,No ready index from incomplete run.,No searchable collections shown and run published_index_id was null.,PASS,None,2/2,docs/qa/extract-e2e-2026-09-26/screenshots/no-published-index.png,No previous ready index existed in QA project to verify preservation.
EX-046,Publication,Successful index and inspector,Follow Inspect published index from the completed v6 run; inspect overview and stored passages.,Ready index with exact membership and evidence available.,"Ready current index version 1 showed 2 prepared document versions, 9 stored passages, and exact encrypted TXT/PDF names and text. API index read reports ingestion pipeline version 6.",PASS,None,1/1,docs/qa/extract-e2e-2026-09-26/encrypted-v6-evidence.json,The Sources tab calls this a legacy collection because source_snapshot_id is null for this Existing Files index; passage names and run items expose exact document membership.
EX-047,File validation,Empty TXT upload,POST qa-empty.txt as multipart file.,Empty content rejected with clear error.,422: The uploaded file is empty.,PASS,None,1/1,,Backend validation only; browser upload itself was separately verified in EX-033.
EX-048,File validation,Unsupported file upload,POST qa-unsupported.bin as multipart file.,Unsupported type rejected with clear error.,415 with supported format list.,PASS,None,1/1,,Backend validation only; browser upload itself was separately verified in EX-033.
EX-049,OCR runtime,Real scanned/rotated PDF and page evidence,"Run OCR Always/Auto and inspect page origin, confidence, rotation and table evidence.",Page-level OCR provenance and saved limits verified.,"Raster-only two-page PDF uploaded and run from browser: OCR Always v7 and Auto v14 published ready indexes. Persisted page 2 shows OCR, 90° rotation, 96.4/100 confidence and the nine-compasses answer.",PASS,None,2/2 policies,docs/qa/extract-followup-2026-09-26/screenshots/ex-049-ocr-auto-page-2.png,Original blocker was a missing scanned/rotated fixture. Added reproducible PDF generator. Product defect: page-level OCR provenance was not persisted; migration 0026 and inspector now expose it. Always screenshot: ex-049-ocr-rotated-page-clean.png. Auto run 8976c8b5-3dfa-44bb-adb0-bf6e9d11556f.
EX-050,Quality runtime,"Warning, strict, optional and language decisions",Run warning/failing/optional/mixed-language files through saved v3 and inspect decisions.,Saved policies alter findings and publication exactly.,"Browser-saved runs exercised warning publication, strict blocking, disallowed-language fail/exclude, mixed-language fail/warn/allow, optional exclusion and required failure. Excluded items stayed out of ready indexes; required failure published no new index.",PASS,None,9/9 variants,docs/qa/extract-followup-2026-09-26/screenshots/ex-050-optional-excluded-published.png,"Original blocker was missing isolated fixtures. Product defects: Existing Files lacked per-file optional flags, and processing lost the disallowed-language exclusion reason. Migrations 0027-0028, UI and worker now persist these decisions and publish exact successful membership. See EX-063 through EX-065 for additional language branches."
EX-051,Browser diagnostics,Console and page errors,Read agent-browser console/errors on final editor session.,No unexpected application JS errors.,Vite debug and React DevTools info only; page-errors output empty.,PASS,None,1/1,,Final browser session; earlier session console was not preserved after agent-browser stalls.
EX-052,Browser diagnostics,Failed requests,"Inspect agent-browser request log after preview, validation and run.",Failures correspond to explicit expected errors.,Observed preview 503 and invalid-save 422; favicon 404 in final session; run submission 202.,PASS,None,1/1,,No silent request failure observed in checked sessions.
EX-053,PDF fixture,Corrected PDF visual and text verification,Replace sparse qa-text.pdf with populated two-page PDF; extract text using pypdf and PyMuPDF; render and inspect both pages.,Both pages visibly populated with distinct facts and a table; text extractable.,Page 1 has 777 extracted characters and visible schedule table; page 2 has 685 characters and a page-specific answer. Both renders are legible.,PASS,None,1/1,docs/qa/extract-e2e-2026-09-26/screenshots/corrected-pdf-page-1.png,Also see corrected-pdf-page-2.png. Original fixture rendered only one short line per page.
EX-054,PDF document,Corrected PDF upload and preparation,Upload corrected bytes as qa-text-corrected.pdf via API; prepare in browser; inspect chunks.,Document persists and page-labelled chunks contain expected text.,"Upload returned 201; UI processing v1 succeeded with 2 chunks: 777 characters on page 1 and 685 on page 2, including table text and page-specific answer.",PASS,None,1/1,docs/qa/extract-e2e-2026-09-26/screenshots/corrected-pdf-chunks.png,Corrected PDF used API upload plus browser preparation; a separate browser upload was verified in EX-033.
EX-055,Source selection,Corrected PDF in immutable ingestion version,"Check corrected PDF and TXT, uncheck sparse PDF; Save version; verify exact source IDs and submit run.",Saved version names only corrected PDF and TXT; 202 run refers to that version.,Version 5 saved with exact corrected PDF and TXT IDs; UI showed Saved version 5 and run submission queued both files.,PASS,None,1/1,docs/qa/extract-e2e-2026-09-26/screenshots/corrected-pdf-run-blocked.png,No schema-v2 extraction success is implied.
EX-056,Corrected PDF runtime,Preview and full run with populated PDF,"Preview saved v6 with encrypted copy of populated PDF; run ingestion; inspect PDF Extract, table evidence and index.","Preview, extraction, table evidence, and index publication complete.","Preview succeeded; PDF schema-v2 processing v1 succeeded with 13 blocks, 1 structured table and 8 chunks. Full v6 run published ready index version 1.",PASS,None,1/1 after encryption,docs/qa/extract-e2e-2026-09-26/screenshots/encrypted-pdf-extract-table.png,Historical plaintext corrected-PDF v5 preview/run remain failed in run history. Retrieval page-provenance defect is EX-060.
EX-057,Environment,Encrypted QA uploads,Configure local keyring in ignored .env; recreate backend/worker/dispatcher; upload QA TXT/PDF; inspect artifact state.,New isolated QA uploads are encrypted and services accept the keyring.,Backend loaded local keyring; both new uploads returned 201 with artifact_state encrypted. Existing data and volumes were preserved.,PASS,None,2/2,docs/qa/extract-e2e-2026-09-26/encrypted-v6-evidence.json,Key value is not stored in QA evidence or Git; old plaintext documents remain historical and deselected.
EX-058,PDF Extract runtime,Page and structured table inspection,"Open v6 PDF run item; inspect Extracted tab, rendered pages 1 and 2, page origins and table cells.",Readable content and a structured page-1 table are inspectable with page-level origin.,"PDF processing reported 13 blocks, 1502 characters, 1 Native page and 1 Layout page, 0 OCR; page-1 table had three headers and three data rows; page 2 rendered and its answer was extracted.",PASS,None,1/1,docs/qa/extract-e2e-2026-09-26/screenshots/encrypted-pdf-extract-table.png,Page-2 render evidence: docs/qa/extract-e2e-2026-09-26/screenshots/encrypted-pdf-extract-page-2.png.
EX-059,Retrieval,Published index returns page-specific answer,"In index version 1 Test retrieval, query How many maps cover the southern approach? with Vector/top k 5.",A passage from the published PDF containing the answer is returned.,Browser Test retrieval on reprocessed PDF index returned the page-2 answer as rank 1 with page 2 in evidence.,PASS,None,1/1 after provenance fix,docs/qa/extract-followup-2026-09-26/screenshots/ex-060-page-2-retrieval.png,"Test retrieval returns passages, not a generated answer. Page provenance is separately assessed in EX-060."
EX-060,Provenance,Cross-page PDF chunk lacks page attribution,Run v6 on encrypted two-page PDF; inspect chunk 8 in published passages; query the page-2 answer through Test retrieval.,Page-2 answer has page-2 provenance in stored passage and retrieval evidence.,Browser rerun of two-page PDF published index v2. Stored answer chunk and rank-1 retrieval evidence both cite PDF page 2.,PASS,Medium,1/1 after fix,docs/qa/extract-followup-2026-09-26/screenshots/ex-060-page-2-retrieval.png,Root cause: section-token chunking grouped same-section blocks across a page boundary and dropped the page number. Page-bounded chunking v2 reprocessed the immutable source; run 1e72a6ae-8186-46b4-a455-fc1e0f72d81f.
EX-061,OCR runtime,Automatic fallback on raster-only rotated PDF,Save OCR Automatic fallback v14; run from browser; inspect persisted page 2.,Low-native-text pages use OCR and retain per-page fallback/rotation evidence.,"Browser run succeeded and published index v3; page 2 records OCR, native text below 20 characters, 90° applied, confidence 96.4/100, and nine compasses.",PASS,None,1/1,docs/qa/extract-followup-2026-09-26/screenshots/ex-049-ocr-auto-page-2.png,Run 8976c8b5-3dfa-44bb-adb0-bf6e9d11556f. Full UI → API → worker → persisted inspector path.
EX-062,Optional items,Optional exclusion versus required failure,Run saved v12 with warning source marked optional and good source required; rerun v13 with warning source required.,Optional policy excludes only the bad source; required failure terminates siblings and preserves previous ready index.,"v12 published one-member ready index with bad item excluded; v13 failed, bad item failed and good item cancelled, without publishing over the ready index.",PASS,None,1/1,docs/qa/extract-followup-2026-09-26/screenshots/ex-050-optional-published-membership.png,Browser run and index inspectors. Required failure screenshot: ex-040-terminal-items.png.
EX-063,Language policy,Disallowed-language exclusion publishes eligible file,"Save v15 from v10 with French and English files, en allowlist, Exclude and report; run from browser and inspect the published index.",French file is excluded and reported; English file alone is searchable in a ready index.,"Initial browser run failed both-file publication, exposing lost exclusion reason. After fix, French item was excluded, English item succeeded, and ready index v1 contained only the English passage.",PASS,Medium,1/1,docs/qa/extract-followup-2026-09-26/screenshots/ex-063-language-exclusion-membership.png,"Root cause: processing persisted a generic failed status/message, so ingestion could not distinguish language exclusion from an ordinary quality failure. Migration 0028 adds a safe failure code, and the worker honors language_excluded. Run-details screenshot: ex-063-language-excluded-published.png."
EX-064,Language policy,Mixed-language Warn publication,Save v16 from v11 with Mixed-language Warn; run from browser and inspect persisted extracted content.,Mixed document publishes with an explicit warning finding and quality decision warn.,Browser run published ready index v1; persisted content showed quality decision warn and warning · mixed languages.,PASS,None,1/1,docs/qa/extract-followup-2026-09-26/screenshots/ex-064-mixed-language-warn-published.png,Real mixed English/Cyrillic QA fixture; no mock response or API-only result.
EX-065,Language policy,Mixed-language Allow publication,Save v17 from v16 with Mixed-language Allow; run from browser and inspect persisted extracted content.,Mixed document publishes with quality decision pass and no mixed-language warning finding.,"Browser run published ready index v1; persisted content showed quality decision pass, mixed detected, and no mixed-language warning.",PASS,None,1/1,docs/qa/extract-followup-2026-09-26/screenshots/ex-065-mixed-language-allow-published.png,"Completes Fail, Warn and Allow runtime decisions with EX-050 and EX-064."
